"Koordinatat e objektit (03420-1 Ferizaj), Përdhesa",,
Nr ,x,y
1,7511174.333,4693119.495
2,7511168.069,4693115.845
3,7511177.410,4693099.818
4,7511189.851,4693107.069
5,7511187.862,4693110.482
6,7511196.977,4693115.795
7,7511195.341,4693118.602
8,7511263.507,4693158.333
9,7511255.753,4693171.638
10,7511253.031,4693170.052
11,7511250.715,4693174.026
12,7511240.736,4693168.210
13,7511241.315,4693167.216
14,7511235.354,4693163.742
15,7511234.775,4693164.735
16,7511203.845,4693146.708
17,7511204.424,4693145.715
18,7511198.462,4693142.240
19,7511197.883,4693143.234
20,7511185.356,4693135.932
21,7511188.025,4693131.353
22,7511172.646,4693122.390
